aAcc,mIoU,mAcc,data_time,time,step
67.5,24.16,32.4,0.024919293143532494,1.0438927303660999,400
81.25,39.36,44.92,0.008816719055175781,0.15359270572662354,800
83.61,34.6,39.18,0.008494118849436441,0.15210654338200888,1200
79.27,37.17,42.88,0.007902681827545166,0.1523860295613607,1600
78.83,34.64,39.44,0.005952119827270508,0.15051082770029703,2000
84.65,43.28,48.49,0.008374889691670736,0.15258806943893433,2400
84.38,47.81,53.64,0.0085181991259257,0.15383505821228027,2800
84.96,47.2,52.32,0.006564497947692871,0.15111581484476724,3200
82.45,48.85,54.35,0.00617365042368571,0.15088923772176108,3600
86.27,51.24,57.08,0.0064026713371276855,0.1511100927988688,4000
88.75,59.82,67.91,0.00747982660929362,0.15208695332209268,4400
91.38,65.15,73.37,0.008391459782918295,0.15365960200627646,4800
90.24,61.99,68.14,0.008543074131011963,0.15343169371287027,5200
91.14,63.95,71.51,0.007552941640218099,0.1518260439236959,5600
